problem,author_1,author_2,para1_text,para2_text
problem-1052.txt,1,1,"A managed switch (pretty much) defaults to the behavior of an unmanaged switch, so if you don't configure anything there won't be much of a difference (some managed switches default to activated spanning-tree protocol, for instance).","However, since the management function include numerous attack vectors you should at the very least secure access to them - configure a good password for web, telnet, SSH and whatever consoles there are."
problem-1052.txt,1,1,"However, since the management function include numerous attack vectors you should at the very least secure access to them - configure a good password for web, telnet, SSH and whatever consoles there are.","The switch's default IP address might conflict with your existing network, yes. It might also use DHCP for a dynamic address - see the manual for details."
problem-1052.txt,1,2,"The switch's default IP address might conflict with your existing network, yes. It might also use DHCP for a dynamic address - see the manual for details.",I'm a bit confused with the whole managed switch setup.
problem-1052.txt,2,2,I'm a bit confused with the whole managed switch setup.,"I understand from a friend that if I want to use a managed as an unmanaged switch, I just need to use it directly out of the box without any configuration."
problem-1052.txt,2,2,"I understand from a friend that if I want to use a managed as an unmanaged switch, I just need to use it directly out of the box without any configuration.","However, if the switch itself has a default IP to allow for configuration, does that mean that there is a possibility of an IP conflict on network?"
problem-1052.txt,2,2,"However, if the switch itself has a default IP to allow for configuration, does that mean that there is a possibility of an IP conflict on network?",Would that mean I would need to configure a proper IP address for it which matches the network and does not collide with anyone else?
problem-1046.txt,1,1,"When I join a conference with Skype Business Web, I get a yellow bar at bottom ""your microphone does not work"", when I plug in my headset on the front microphone/headphone jacks, on the back microphone/headphone jacks and when I use a bluetooth headset as well.",The computer has a realtek audio chipset with the most recent drivers installed. The headset works on another Windows 10 computer with Skype Business Web without any problems and I can use it on this computer on other websites without any problems.
problem-1046.txt,1,1,The computer has a realtek audio chipset with the most recent drivers installed. The headset works on another Windows 10 computer with Skype Business Web without any problems and I can use it on this computer on other websites without any problems.,"I tested Skype Business Web using Internet Explorer and Edge, but as it loads an own component, it is probably no difference."
problem-1046.txt,1,1,"I tested Skype Business Web using Internet Explorer and Edge, but as it loads an own component, it is probably no difference.",I tried all combinations of sound devices in the Skype Business conference settings and it still does not work.
problem-1046.txt,1,1,I tried all combinations of sound devices in the Skype Business conference settings and it still does not work.,"My impression is, that Skype Business decides for some reason, that the headset does not work and then does not even try to use its microphone."
problem-1046.txt,1,2,"My impression is, that Skype Business decides for some reason, that the headset does not work and then does not even try to use its microphone.",Recent Windows 10 builds now have increased security for peripherals such as microphone & camera.  
problem-1046.txt,2,2,Recent Windows 10 builds now have increased security for peripherals such as microphone & camera.  ,"The exact specification depends on Windows build, so I think the best way to answer this is to link to the Microsoft KB on the method, whilst giving just a brief précis here."
problem-1046.txt,2,2,"The exact specification depends on Windows build, so I think the best way to answer this is to link to the Microsoft KB on the method, whilst giving just a brief précis here.","Microsoft Support - Windows 10 camera, microphone, and privacy"
